,time,model,connected,soc,days,cadaster,ev_id
0,1,Nissan Leaf e+,True,36.25,1,79514:037:0033,0
1,2,Nissan Leaf e+,True,42.85,1,79514:037:0033,0
2,3,Nissan Leaf e+,True,49.45,1,79514:037:0033,0
3,4,Nissan Leaf e+,True,56.0,1,79514:037:0033,0
4,5,Nissan Leaf e+,True,56.0,1,79514:037:0033,0
5,6,Nissan Leaf e+,False,56.0,1,79514:037:0033,0
6,7,Nissan Leaf e+,True,47.48072932369741,1,79507:007:0005,0
7,8,Nissan Leaf e+,False,54.08072932369741,1,79507:007:0005,0
8,9,Nissan Leaf e+,False,49.061418629091875,1,79507:007:0005,0
9,10,Nissan Leaf e+,False,48.201418629091876,1,79507:007:0005,0
10,11,Nissan Leaf e+,True,40.926626064964985,1,79507:007:0005,0
11,12,Nissan Leaf e+,False,47.52662606496499,1,79507:007:0005,0
12,13,Nissan Leaf e+,False,39.32559534888096,1,79507:007:0005,0
13,14,Nissan Leaf e+,True,34.591420059800306,1,79507:007:0005,0
14,15,Nissan Leaf e+,True,41.19142005980031,1,79507:007:0005,0
15,16,Nissan Leaf e+,False,47.79142005980031,1,79507:007:0005,0
16,17,Nissan Leaf e+,True,36.42078730681355,1,79507:007:0005,0
17,18,Nissan Leaf e+,False,43.02078730681355,1,79507:007:0005,0
18,19,Nissan Leaf e+,False,31.246944627451697,1,79514:037:0033,0
19,20,Nissan Leaf e+,True,30.386944627451697,1,79514:037:0033,0
20,21,Nissan Leaf e+,True,36.9869446274517,1,79514:037:0033,0
21,22,Nissan Leaf e+,False,43.5869446274517,1,79514:037:0033,0
22,23,Nissan Leaf e+,True,34.58117204815821,1,79514:037:0033,0
23,24,Nissan Leaf e+,False,41.18117204815821,1,79514:037:0033,0
24,1,Nissan Leaf e+,False,40.32117204815821,2,79514:037:0033,0
25,2,Nissan Leaf e+,True,28.565875283921947,2,79514:037:0033,0
26,3,Nissan Leaf e+,True,35.16587528392195,2,79514:037:0033,0
27,4,Nissan Leaf e+,False,41.76587528392195,2,79514:037:0033,0
28,5,Nissan Leaf e+,True,30.324392725172686,2,79514:037:0033,0
29,6,Nissan Leaf e+,True,36.92439272517269,2,79514:037:0033,0
30,7,Nissan Leaf e+,True,43.52439272517269,2,79507:007:0005,0
31,8,Nissan Leaf e+,False,50.12439272517269,2,79507:007:0005,0
32,9,Nissan Leaf e+,False,44.38975852140654,2,79507:007:0005,0
33,10,Nissan Leaf e+,True,43.52975852140654,2,79507:007:0005,0
34,11,Nissan Leaf e+,True,50.12975852140654,2,79507:007:0005,0
35,12,Nissan Leaf e+,False,56.0,2,79507:007:0005,0
36,13,Nissan Leaf e+,True,40.52,2,79507:007:0005,0
37,14,Nissan Leaf e+,False,47.120000000000005,2,79507:007:0005,0
38,15,Nissan Leaf e+,True,46.260000000000005,2,79507:007:0005,0
39,16,Nissan Leaf e+,True,52.86000000000001,2,79507:007:0005,0
40,17,Nissan Leaf e+,False,56.0,2,79507:007:0005,0
41,18,Nissan Leaf e+,False,49.601522505606404,2,79507:007:0005,0
42,19,Nissan Leaf e+,True,44.7454181483983,2,79514:037:0033,0
43,20,Nissan Leaf e+,False,51.3454181483983,2,79514:037:0033,0
44,21,Nissan Leaf e+,False,48.60803824303981,2,79514:037:0033,0
45,22,Nissan Leaf e+,False,42.30309228602275,2,79514:037:0033,0
46,23,Nissan Leaf e+,False,39.277827497945935,2,79514:037:0033,0
47,24,Nissan Leaf e+,False,30.62941853617275,2,79514:037:0033,0
48,1,Nissan Leaf e+,True,29.76941853617275,3,79514:037:0033,0
49,2,Nissan Leaf e+,False,36.36941853617275,3,79514:037:0033,0
50,3,Nissan Leaf e+,True,25.039017057786005,3,79514:037:0033,0
51,4,Nissan Leaf e+,True,31.639017057786006,3,79514:037:0033,0
52,5,Nissan Leaf e+,True,38.23901705778601,3,79514:037:0033,0
53,6,Nissan Leaf e+,True,44.83901705778601,3,79514:037:0033,0
54,7,Nissan Leaf e+,False,51.43901705778601,3,79507:007:0005,0
55,8,Nissan Leaf e+,False,50.57901705778601,3,79507:007:0005,0
56,9,Nissan Leaf e+,False,38.91391804956836,3,79507:007:0005,0
57,10,Nissan Leaf e+,True,34.121057156115185,3,79507:007:0005,0
58,11,Nissan Leaf e+,True,40.72105715611519,3,79507:007:0005,0
59,12,Nissan Leaf e+,True,47.32105715611519,3,79507:007:0005,0
60,13,Nissan Leaf e+,False,53.92105715611519,3,79507:007:0005,0
61,14,Nissan Leaf e+,True,49.301446078508135,3,79507:007:0005,0
62,15,Nissan Leaf e+,True,55.90144607850814,3,79507:007:0005,0
63,16,Nissan Leaf e+,True,56.0,3,79507:007:0005,0
64,17,Nissan Leaf e+,True,56.0,3,79507:007:0005,0
65,18,Nissan Leaf e+,False,56.0,3,79507:007:0005,0
66,19,Nissan Leaf e+,True,40.8572768318352,3,79514:037:0033,0
67,20,Nissan Leaf e+,False,47.4572768318352,3,79514:037:0033,0
68,21,Nissan Leaf e+,False,46.538069129886864,3,79514:037:0033,0
